,category,comments
251,positive,қош келдің
252,positive,дұрыс осылай осылай адам болады
253,positive,керемет көктен іздегенім жерден табылды дегендей
254,negative,менде қорқамын доллардың көтерілуінен
255,positive,өйткені европа нағыз құнын біледі
256,neutral,"динара, не үшін?)"
257,neutral,пілмен
258,negative,сонда кеткен үш - төрт сағат уақыттарын пайдалы іске жұмсаса ғой.ақымақтар
260,positive,"жанибек, алламла ниетіңе қарап береді, ниетіңіз түзу болсын! жаман ойламаңыз."
262,negative,сен кетсең қалай өмір сүре аламын.....
264,positive,талай өмірді көрген доп ау)
265,negative,хиджаб кигеннің бəрі иманды емес
266,positive,жақсы ойыншы))
267,neutral,ерасыл аманжол емеспе атыраудағы ?!
268,neutral,"қазақстан шекараны жабық ұстаса, тыр жалаңаш, аш қаласың. себебі, ішіп отырған тамағың, жеп отырған наның, баршасы – сырттан келген өнімдер."
269,neutral,бір бентлиді көрсеңіз.
270,neutral,31ші жасы дешиш кайдагы 31 ші туган күні
271,neutral,"тапсырыспен портрет саламыз! бағасын келісеміз сапалы әрі көңіліңізден шығары анықшымкент қаласы бойынша,,,басқа қалаларға да жібере аламыз"
272,neutral,"алдыңғы буын шарап сусынға шайқалып жүрсе, кейінгісінен не күтеміз???"
273,negative,уфаның заменасына шіріп кетті ау байғұс!
276,positive,"мейіржан, ол оз оиын. негизи уят емес"
277,negative,футболды жабыңдар құрсын бұндай футболдың барынан жоғы
278,neutral,зəкеңнің ойыншысын көрген шғар.
279,positive,ой бәрекелді дұрыс дұрыс. димізда іске келгенде ешқайсымыз істеп жатқан жоқ сияқтымыз
280,negative,өмірден не көрмедің сен!
281,positive,рәхмәт. бик матур.
282,positive,күмән болмасын ағайын!!!
283,positive,ниеті түзу баланың)
284,neutral,керегін таңда
287,positive,өте керемет өтті-демей ма.
286,negative,одан кейін көпшілік жамандықта жиналмайды деген админ қума
292,positive,"айтысатын ақсақалмен, қызбенен, ақын халық екенбізғой біз деген."
293,neutral,оны кімнің позициясына қояды
294,negative,біздің сборной қаншама жылдан бері навес көтере алмайды. тек короткий пастармен ойнайды. игроктар физический әлсіз. дриблингы мықты дейтін ешқандай футболшы жоқ.
296,positive,керемет ! талабыңызға нұр жаусын !
299,positive,формасы жақсы екен.
306,neutral,құрамның тізімі жоқ па?
307,positive,қазақтар салыпты ғой
300,neutral,бұйырса қайрат-тараз ойынына барамын бірақ турдың орталық ойыны астана-ақтөбе
301,neutral,"ұлтым, тілім, тарихым дегеннен,"
309,negative,жартысы ақшаны бекер алып жатр
314,neutral,не жамандық көрдің 91ден
313,positive,өте əсерлі. əке асқар тау ғой. жасай бер қарындасым
317,positive,жарайсың абдуллай!
328,neutral,"ринат, ерігіп"
305,negative,"жарқын, оздері кайта курылып екінші лигадан бастаган оскемендік клуб болып курылып. юридический кателер жіберген болып тур каласын корсетпей футбольный центр т.б"
324,negative,сосын рафкат аслан бугін ойнамады
322,neutral,сөзіде өзгерді өзі де өзгерді.
323,negative,"азамат, бітті"
327,neutral,хан деген кім
329,positive,балалық шақта жаттап мақтанышпен айтатынбыз
330,positive,"өте жақсы айтылған, мұндай оқиға толып жатыр"
333,negative,"ол балаға инстада отыра берми, физический тренировка жаса деу керек а то травмадан травма."
334,positive,мықты ойыншы
335,negative,имам ағазам зындан сақшыларынан таяқ жеп жатты. бір уақытта имам ағзамның басынан қан ақты ұрған соққыдан. сонда имам ағзам жылады. сақшылар сұрады я имам ағзам сен алдын бұдан ауыр соққыларды алғанда жыламаушы едің кәзір жайғана бір соққыға жылап отсың. бұның себебі неде деп сұрады. сонда имам ағзам егер басымнан аққан қанды анам көргенде жүрегіне ауыр келетін еді. сол анамды ойлап жылап отырмын деген екен.
338,positive,өте мағыналы
340,neutral,"ақ көңілден сұрап тұрып кешірім,"
341,positive,бүгін оралхан бөкейдіңде туылған күні. жатқан жері жайлы болсын
342,neutral,дидар нағып жүр
343,positive,осылай ақырын ақырын тірілеміз адамдар
344,neutral,4 метір дегенғой биіктігің
345,neutral,1 лига жаңалықтарын қайдан қарауға болады
346,positive,керемет өнеріңіз өрге жүзе берсін
348,negative,басы істемейтін қатын
349,positive,ай жарық
350,negative,бұндайды койындарш
351,negative,"мейіржан, жарайд. сіздікі дұрыс!!!"
352,positive,"елімнің ағасы,халқымның мақтанышы"
356,positive,алаш ұрпағы тұлпардан құламайық!
357,neutral,махаббат қызық мол жылдар))) таксафон ше
358,neutral,қолыма
361,negative,астағфирулла
362,neutral,спичканыда ұмытпаңдар
364,neutral,ол жартылай қорғаушы емес қой
365,positive,мен сүймеймін мен тек бір алланы сосын ата анамды сүйем
367,neutral,шын ба бұл
368,positive,бəсе осындай ойыншылар керекқо
370,negative,қайсы жақсы екенін білер едік
371,positive,неменеге ауылды өте төмен қылып корсетесиздер аулда автобус бари бар келип кориниздер
372,neutral,1-ші сыныпта жатсаған өлеңімғо
373,positive,етпен суйектен жаралған адамдардын бəрі жақсы.
374,negative,бір жағынан жоқ
375,positive,қазақтың жігіттері арыстандайғо
376,neutral,"оралбек, тағм"
377,negative,неймар мен кавани болғанда қанша болып ұтылатынын бір құдай біледі
378,positive,еркек. тағы сал
380,neutral,"нұрлан, казакты оилаитын адамнын куны калмады ма не сонда"
381,neutral,ол қыздардың оздериде жигиттеринин тұқымдарын суйип жүр емеспа
382,negative,я ащы шындық айтылады талайға. жігерсіздер мыңқ етпейді маңайда. қазақ деген өр рухты халықтың. намысна сазат салды жырып тым.
383,negative,кайраттан аз алкмарда ойнап женілген енді астанада ойнап женіледі
384,neutral,каспий-ім
386,negative,-ейй мен сүйек жей алмайм
387,neutral,кітабы қайда сатылады?
388,neutral,ақтөбе сиякты толтырып алып қарыздарыг өтей алмай жүрмесе болдыда
389,negative,инфаркт алатын едім
390,positive,өте жақсы жазылған айтылған сөз
391,neutral,ертіс жүр ғой 26 номер
396,positive,"тмд-ң ең үздік командасы ғой енді,жастары да мықты олардың."
397,neutral,мен сұрай ғой - дедім.
398,neutral,"сұлтанғали, сенин котинди айыратын сиякты"
399,negative,проблема ұрылар жоғарыда отыр
